"customer_id","gender","date_of_birth_raw","date_of_birth","state","contact","segment"
77436411,Female,"06-May-64",1964-05-06,TN,"679-324-1357",Platinum
44319192,Male,"07-Nov-68",1968-11-07,NC,"432-234-3617",Platinum
57510487,Male,"24-Jan-84",1984-01-24,UT,"512-657-2135",Gold
62797342,Male,"01-May-89",1989-05-01,MA,"348-186-6349",Gold
56923917,Female,"10-Aug-71",1971-08-10,IL,"451-134-7825",Silver
83088652,Male,"05-Oct-98",1998-10-05,MD,"968-236-9367",Platinum
53087364,Female,"30-Jul-90",1990-07-30,AK,"462-412-7423",Platinum
9089663,Male,"09-Sep-60",1960-09-09,MT,"763-973-2741",Silver
83290720,Male,"06-Dec-66",1966-12-06,VA,"185-825-6547",Gold
78364565,Female,"07-Aug-61",1961-08-07,NM,"862-483-5218",Silver
99761663,Female,"18-Nov-63",1963-11-18,NC,"643-246-4718",Silver
6298259,Female,"30-May-69",1969-05-30,AZ,"712-891-4759",Silver
51936868,Male,"29-May-88",1988-05-29,OR,"538-723-7261",Gold
35907845,Male,"22-Jun-72",1972-06-22,IA,"384-637-2368",Platinum
17390816,Female,"03-Sep-87",1987-09-03,UT,"269-384-1923",Gold
9908654,Male,"18-Feb-64",1964-02-18,AL,"179-894-5412",Platinum
47228798,Male,"18-May-74",1974-05-18,HI,"364-634-3715",Platinum
11593991,Female,"22-Dec-65",1965-12-22,RI,"642-812-6451",Silver
15036122,Male,"30-Mar-88",1988-03-30,IA,"893-237-4791",Silver
59046302,Male,"15-Jan-94",1994-01-15,NY,"854-356-9378",Silver
74058124,Male,"12-Nov-90",1990-11-12,WV,"172-685-2746",Silver
95221640,Male,"13-Jul-67",1967-07-13,MD,"712-754-5719",Silver
5956033,Female,"07-Jul-93",1993-07-07,WY,"984-397-3427",Silver
91462331,Male,"02-May-86",1986-05-02,SD,"163-429-1675",Platinum
7946799,Female,"10-Mar-76",1976-03-10,MT,"645-968-6519",Gold
83884401,Male,"13-Mar-92",1992-03-13,ND,"947-962-9473",Gold
36498462,Female,"10-Sep-87",1987-09-10,WV,"635-136-5671",Silver
88191021,Male,"11-Jul-86",1986-07-11,HI,"915-523-3148",Platinum
88567908,Female,"26-Sep-71",1971-09-26,MN,"817-685-2347",Gold
72896975,Male,"26-Feb-70",1970-02-26,AL,"813-784-4983",Gold
85650096,Male,"29-Jan-67",1967-01-29,MO,"954-368-9137",Gold
51349085,Male,"06-Jun-97",1997-06-06,RI,"258-762-9482",Silver
90202451,Male,"04-Jul-89",1989-07-04,KY,"413-642-7842",Platinum
55180831,Male,"21-Feb-62",1962-02-21,MT,"482-319-5783",Gold
14433043,Female,"13-Jun-71",1971-06-13,UT,"314-341-6783",Gold
56590042,Male,"12-Jan-67",1967-01-12,AL,"254-651-9452",Silver
43870673,Male,"21-Jun-85",1985-06-21,KS,"428-238-4918",Gold
84734050,Male,"21-Apr-60",1960-04-21,VA,"974-457-9312",Silver
73246256,Female,"18-Oct-84",1984-10-18,IN,"146-597-5429",Platinum
2632562,Female,"14-Dec-85",1985-12-14,AK,"498-597-9658",Platinum
74125758,Male,"04-Jan-61",1961-01-04,LA,"876-786-8624",Gold
92752865,Male,"30-Jan-86",1986-01-30,AK,"143-219-5498",Silver
47086007,Female,"10-Dec-97",1997-12-10,NC,"347-618-5821",Gold
33987747,Male,"23-May-73",1973-05-23,MO,"719-927-1936",Platinum
37312925,Male,"12-Jan-63",1963-01-12,KS,"274-346-6391",Gold
13233814,Female,"01-Jun-62",1962-06-01,AR,"583-753-8415",Platinum
32561536,Male,"18-Sep-82",1982-09-18,MI,"718-215-2831",Platinum
73456835,Female,"31-Dec-78",1978-12-31,CO,"376-294-4612",Silver
84767457,Female,"14-Nov-96",1996-11-14,AZ,"964-984-9257",Platinum
31901720,Male,"29-Nov-63",1963-11-29,CA,"574-674-6381",Silver
67885239,Female,"17-Sep-66",1966-09-17,AL,"682-368-5823",Platinum
94448966,Female,"20-Jun-84",1984-06-20,MD,"845-768-2513",Gold
94633091,Female,"14-Jul-90",1990-07-14,RI,"826-537-1348",Platinum
90116906,Male,"14-Sep-70",1970-09-14,SD,"645-465-4938",Platinum
82832313,Male,"21-Jul-80",1980-07-21,NC,"679-793-3672",Silver
87993949,Male,"29-May-69",1969-05-29,NJ,"754-586-4891",Platinum
61810954,Male,"18-May-69",1969-05-18,TX,"724-493-6179",Silver
55782839,Female,"07-Feb-98",1998-02-07,ND,"918-849-3279",Gold
39587790,Male,"10-Jan-65",1965-01-10,LA,"615-154-3516",Gold
14293434,Female,"25-Jan-95",1995-01-25,IL,"269-431-3781",Platinum
46620413,Male,"11-Dec-91",1991-12-11,DE,"164-158-7981",Platinum
53798973,Female,"19-Nov-80",1980-11-19,TN,"732-893-6125",Silver
15556454,Male,"01-Sep-96",1996-09-01,OK,"952-296-8234",Silver
61497833,Male,"06-Aug-95",1995-08-06,WV,"179-439-6237",Platinum
92889077,Female,"08-Mar-63",1963-03-08,AR,"975-548-7142",Gold
19171044,Female,"06-Feb-79",1979-02-06,WI,"281-597-6245",Platinum
93291407,Male,"08-May-70",1970-05-08,FL,"945-839-1768",Gold
96710523,Male,"29-May-80",1980-05-29,WY,"846-174-8946",Silver
52542420,Female,"25-Jul-70",1970-07-25,CA,"371-247-1395",Silver
37741743,Female,"16-Jul-82",1982-07-16,ME,"327-256-9257",Gold
48145469,Male,"22-May-73",1973-05-22,IA,"946-341-3157",Silver
25709472,Male,"15-Jan-93",1993-01-15,KY,"534-697-3498",Gold
58402401,Male,"13-Jun-79",1979-06-13,KS,"134-129-8167",Silver
23092790,Female,"21-Apr-82",1982-04-21,NE,"362-847-6954",Platinum
62476442,Female,"27-Jun-85",1985-06-27,HI,"528-237-8379",Silver
39943087,Female,"11-Nov-88",1988-11-11,NY,"473-567-7234",Platinum
41265642,Male,"29-Sep-89",1989-09-29,IA,"912-385-7549",Gold
73383008,Female,"04-Jun-86",1986-06-04,AZ,"594-592-6745",Gold
77896466,Female,"16-Feb-97",1997-02-16,IL,"613-614-1378",Gold
83526368,Female,"16-Mar-79",1979-03-16,MA,"468-698-7189",Platinum
31439710,Female,"11-Mar-88",1988-03-11,GA,"824-246-5734",Gold
30227653,Female,"01-Aug-81",1981-08-01,CT,"945-734-2691",Silver
86993944,Male,"17-Mar-82",1982-03-17,WI,"596-612-5431",Silver
65728108,Male,"22-Nov-84",1984-11-22,SC,"438-675-4587",Platinum
45539668,Male,"08-Apr-98",1998-04-08,MS,"613-276-2471",Silver
3159546,Male,"20-Oct-87",1987-10-20,TX,"586-129-9752",Platinum
88449349,Male,"17-Dec-79",1979-12-17,WA,"975-547-5196",Platinum
35937389,Female,"31-Jul-78",1978-07-31,AZ,"971-841-3152",Silver
19441247,Female,"10-Jun-74",1974-06-10,WV,"439-538-7538",Platinum
7208859,Female,"15-Feb-91",1991-02-15,OK,"372-267-3189",Gold
65950591,Male,"25-Jan-69",1969-01-25,NH,"543-543-2549",Silver
2327487,Male,"08-Feb-99",1999-02-08,AZ,"215-589-3761",Platinum
30722342,Male,"04-Apr-99",1999-04-04,OH,"316-863-5832",Silver
31289360,Male,"15-Nov-98",1998-11-15,GA,"869-486-1267",Gold
24826170,Male,"05-Mar-87",1987-03-05,WA,"361-476-4591",Gold
14860484,Male,"02-Dec-94",1994-12-02,OK,"864-361-2564",Gold
39642700,Female,"13-Jun-85",1985-06-13,IN,"745-342-2471",Silver
3689105,Female,"23-Mar-99",1999-03-23,NE,"923-198-9827",Silver
58850120,Female,"23-Jul-60",1960-07-23,UT,"819-478-8453",Platinum
76965994,Male,"28-Mar-60",1960-03-28,NY,"132-927-9824",Gold
14490971,Female,"10-Dec-76",1976-12-10,MN,"614-652-1274",Silver
88277241,Male,"27-Apr-76",1976-04-27,NV,"684-482-6745",Platinum
87386746,Male,"23-Dec-82",1982-12-23,ND,"741-473-8976",Gold
55157616,Female,"21-Oct-67",1967-10-21,MN,"136-736-1978",Gold
55593844,Female,"02-Mar-65",1965-03-02,NC,"129-925-2819",Gold
72556809,Male,"14-Jan-98",1998-01-14,ID,"582-928-4938",Platinum
45653187,Male,"22-May-63",1963-05-22,AL,"836-247-1264",Silver
48538925,Female,"25-Sep-67",1967-09-25,NE,"378-563-3695",Gold
68724425,Male,"06-Oct-61",1961-10-06,VA,"389-769-2197",Gold
50817031,Male,"17-Nov-63",1963-11-17,MI,"728-483-4185",Gold
16836323,Male,"22-Dec-70",1970-12-22,MS,"398-364-9741",Gold
72701589,Female,"23-Aug-94",1994-08-23,AR,"745-968-1753",Silver
88126167,Female,"22-Dec-93",1993-12-22,IA,"691-739-8963",Gold
50642114,Female,"06-Dec-61",1961-12-06,FL,"925-298-5137",Gold
32180678,Male,"24-Feb-85",1985-02-24,KS,"975-682-7836",Platinum
74155265,Male,"16-Nov-85",1985-11-16,TX,"392-739-4873",Gold
26168099,Male,"27-Oct-95",1995-10-27,NC,"325-687-3651",Silver
804961,Female,"07-Dec-97",1997-12-07,AL,"487-723-4167",Gold
25823839,Male,"27-Dec-71",1971-12-27,ME,"678-925-6195",Silver
61745840,Female,"24-Jul-94",1994-07-24,MA,"612-684-5472",Platinum
86024944,Female,"01-Aug-74",1974-08-01,AZ,"742-298-4693",Silver
40080423,Female,"13-Sep-69",1969-09-13,NY,"769-451-9372",Gold
14275512,Male,"24-Jun-71",1971-06-24,MI,"362-839-2153",Platinum
70442756,Female,"16-Jun-63",1963-06-16,VA,"174-415-5381",Platinum
36829984,Female,"01-Dec-65",1965-12-01,CA,"713-967-1935",Platinum
68772500,Male,"10-Nov-89",1989-11-10,TX,"562-259-5432",Silver
154557,Female,"23-May-78",1978-05-23,DE,"962-879-1238",Platinum
97640137,Male,"14-Aug-75",1975-08-14,SD,"812-824-4285",Platinum
49270602,Male,"10-Apr-60",1960-04-10,IL,"837-734-6732",Platinum
25021031,Female,"07-Dec-72",1972-12-07,IL,"537-548-5913",Platinum
2590748,Female,"30-Nov-91",1991-11-30,MO,"185-517-6934",Platinum
98905793,Female,"11-Nov-93",1993-11-11,ID,"823-482-5839",Platinum
39495715,Male,"16-Sep-68",1968-09-16,LA,"572-615-8539",Gold
64840478,Female,"14-Feb-74",1974-02-14,NM,"918-174-7461",Silver
30541131,Female,"17-Mar-88",1988-03-17,CO,"857-137-2347",Silver
51503228,Male,"12-Jul-60",1960-07-12,IA,"612-258-9783",Silver
57959733,Female,"31-Dec-67",1967-12-31,AR,"689-628-5247",Platinum
82415154,Female,"08-Mar-80",1980-03-08,DE,"578-942-1542",Platinum
67861420,Female,"28-Apr-92",1992-04-28,UT,"645-657-5692",Platinum
16811546,Male,"09-Jul-76",1976-07-09,KS,"486-341-4781",Gold
74840885,Female,"09-May-66",1966-05-09,IA,"149-458-3751",Platinum
95719884,Female,"26-Nov-89",1989-11-26,CT,"759-157-6329",Platinum
22856223,Female,"07-Aug-63",1963-08-07,AR,"728-953-8257",Platinum
26965990,Female,"14-Dec-98",1998-12-14,NH,"823-634-8723",Platinum
48447568,Male,"26-Jun-62",1962-06-26,CT,"294-936-9134",Gold
16102401,Male,"07-Oct-96",1996-10-07,CT,"148-543-1362",Silver
26448215,Female,"10-Mar-83",1983-03-10,CT,"765-438-8462",Silver
40922910,Male,"12-Sep-63",1963-09-12,IN,"246-527-5983",Gold
43293983,Female,"12-Aug-89",1989-08-12,NM,"356-724-4721",Gold
51195864,Female,"24-Nov-71",1971-11-24,ND,"831-136-3859",Gold
36395486,Male,"06-Mar-71",1971-03-06,ND,"365-482-4683",Gold
32850276,Male,"29-Oct-63",1963-10-29,ME,"893-673-8192",Platinum
94041088,Male,"16-Jul-90",1990-07-16,NM,"815-641-3516",Silver
90718924,Male,"30-Sep-70",1970-09-30,ME,"185-286-2134",Silver
51278451,Female,"23-Apr-82",1982-04-23,NJ,"597-396-2931",Gold
16868327,Male,"14-Feb-68",1968-02-14,VT,"426-293-4958",Silver
32269248,Female,"27-Jun-71",1971-06-27,NE,"574-857-9387",Gold
35410919,Female,"07-May-95",1995-05-07,AZ,"862-765-3425",Silver
20716946,Female,"10-Jun-81",1981-06-10,KY,"526-579-6814",Platinum
90102508,Male,"25-Jul-85",1985-07-25,AZ,"794-134-3864",Gold
40744509,Male,"18-Sep-99",1999-09-18,MD,"746-571-4539",Gold
51460517,Male,"25-Dec-69",1969-12-25,ND,"925-214-7481",Gold
9677945,Female,"28-May-87",1987-05-28,SC,"849-461-6419",Platinum
34297743,Female,"17-Mar-76",1976-03-17,WI,"726-673-6513",Platinum
17682060,Female,"21-Nov-74",1974-11-21,NV,"186-195-3465",Gold
29750601,Female,"28-Oct-95",1995-10-28,RI,"652-976-9723",Platinum
97698815,Male,"06-May-77",1977-05-06,OH,"352-765-2183",Gold
28920170,Male,"18-Jul-62",1962-07-18,ID,"498-547-6829",Silver
55572419,Female,"31-May-65",1965-05-31,CO,"728-934-9134",Gold
77219712,Female,"05-Aug-99",1999-08-05,NH,"649-592-8793",Platinum
39286853,Female,"23-Jun-93",1993-06-23,ND,"829-753-4352",Platinum
47226965,Male,"27-Jun-95",1995-06-27,MN,"935-251-3941",Platinum
68757979,Female,"07-Jun-64",1964-06-07,KY,"835-238-5426",Platinum
69956308,Female,"09-Feb-81",1981-02-09,AL,"934-541-3417",Gold
47603757,Female,"09-Aug-96",1996-08-09,NE,"214-247-6582",Platinum
83534717,Male,"17-May-65",1965-05-17,MI,"732-632-3689",Silver
40480522,Female,"30-May-84",1984-05-30,NV,"739-259-6835",Gold
86597605,Female,"21-Apr-62",1962-04-21,ME,"794-584-3826",Gold
7829022,Male,"12-Aug-80",1980-08-12,ND,"964-432-2841",Platinum
77985379,Female,"20-May-84",1984-05-20,MD,"619-412-8295",Platinum
2826434,Female,"25-Nov-94",1994-11-25,MN,"863-274-1853",Platinum
16548727,Female,"11-Nov-84",1984-11-11,ND,"475-651-3249",Platinum
94267140,Male,"07-Oct-67",1967-10-07,MO,"765-672-8396",Gold
5637733,Male,"27-May-64",1964-05-27,ID,"567-617-1874",Platinum
684748,Male,"03-Aug-77",1977-08-03,AK,"613-385-2863",Gold
65047878,Female,"23-Aug-79",1979-08-23,SD,"593-329-6298",Silver
84614509,Male,"14-Jan-81",1981-01-14,WI,"576-536-8742",Silver
93766634,Female,"20-Sep-70",1970-09-20,OH,"871-813-4512",Gold
68712439,Male,"17-Aug-90",1990-08-17,WI,"397-361-3286",Platinum
88785895,Male,"24-Apr-77",1977-04-24,CO,"549-729-2915",Gold
33924586,Female,"28-Mar-76",1976-03-28,MA,"187-187-9648",Silver
1852176,Male,"23-Jun-67",1967-06-23,PA,"563-749-5436",Platinum
58107776,Female,"26-Jun-74",1974-06-26,HI,"794-819-7165",Silver
30743608,Male,"19-Feb-90",1990-02-19,DE,"541-523-1263",Gold
50530333,Male,"22-May-99",1999-05-22,WA,"152-152-9356",Silver
29282358,Female,"05-Oct-85",1985-10-05,NE,"291-953-5768",Gold
55375167,Male,"30-Mar-69",1969-03-30,NE,"245-617-1348",Silver
37692329,Male,"28-May-92",1992-05-28,LA,"195-175-4275",Platinum
2753882,Female,"12-Oct-94",1994-10-12,CA,"739-738-7493",Platinum
88219691,Female,"27-Oct-94",1994-10-27,NJ,"298-359-2684",Silver
67722830,Male,"30-Nov-73",1973-11-30,TN,"674-654-7168",Platinum
11321295,Male,"13-Nov-65",1965-11-13,DE,"429-596-2169",Platinum
28502965,Female,"11-Sep-66",1966-09-11,DE,"598-625-9431",Silver
51782731,Male,"18-Dec-89",1989-12-18,PA,"728-916-1287",Silver
76395629,Male,"29-Jan-72",1972-01-29,ID,"812-836-7854",Silver
20960664,Female,"28-Oct-87",1987-10-28,VT,"276-719-1489",Platinum
79683883,Male,"30-Sep-85",1985-09-30,WY,"194-892-7628",Gold
33388786,Female,"13-Apr-82",1982-04-13,MO,"182-164-7386",Gold
52361935,Male,"27-Mar-95",1995-03-27,MI,"925-931-3164",Silver
97038550,Female,"08-Oct-73",1973-10-08,FL,"963-613-5369",Platinum
25911554,Female,"21-Jun-98",1998-06-21,IN,"321-235-9236",Gold
43834942,Female,"08-Sep-80",1980-09-08,ND,"281-286-8362",Gold
17242900,Male,"27-Mar-82",1982-03-27,NM,"472-435-3847",Platinum
54094880,Male,"01-Jun-84",1984-06-01,DE,"568-481-7418",Silver
59809467,Female,"03-Dec-87",1987-12-03,IN,"231-893-6274",Silver
62204138,Female,"15-Dec-89",1989-12-15,DE,"471-934-4961",Platinum
93993324,Male,"23-Feb-64",1964-02-23,WI,"853-261-1783",Gold
84995304,Female,"05-May-85",1985-05-05,GA,"347-765-3861",Silver
70955654,Female,"23-Aug-92",1992-08-23,IL,"867-154-5847",Silver
43274276,Female,"22-Apr-77",1977-04-22,OR,"829-634-2537",Silver
23236713,Male,"24-Jan-94",1994-01-24,OK,"564-237-8963",Silver
76501371,Male,"14-Feb-76",1976-02-14,NY,"341-346-8795",Silver
56554262,Male,"26-Oct-82",1982-10-26,ND,"142-258-9876",Silver
48123202,Female,"31-Dec-98",1998-12-31,AL,"932-672-6327",Gold
93915431,Male,"08-Sep-67",1967-09-08,ME,"134-785-1687",Gold
38560100,Female,"01-Nov-73",1973-11-01,IL,"586-724-1493",Platinum
31544049,Male,"04-Jun-71",1971-06-04,KS,"672-351-1964",Silver
68615086,Male,"12-Nov-80",1980-11-12,VT,"326-937-6952",Platinum
55535045,Male,"11-Aug-94",1994-08-11,AR,"164-539-3948",Gold
17988592,Male,"16-Dec-99",1999-12-16,NM,"472-186-4937",Platinum
4883962,Male,"20-Jan-72",1972-01-20,FL,"478-721-9743",Platinum
33812279,Male,"17-Jul-91",1991-07-17,KS,"621-297-6317",Platinum
81854173,Male,"13-Mar-93",1993-03-13,CO,"743-429-8173",Gold
24579061,Female,"24-Nov-67",1967-11-24,IN,"763-365-2837",Platinum
29478976,Male,"06-Oct-83",1983-10-06,MO,"964-768-7924",Gold
10462042,Female,"06-Jun-64",1964-06-06,WA,"351-316-3172",Platinum
52265112,Female,"21-Aug-87",1987-08-21,MA,"251-361-5218",Gold
53900680,Male,"06-Mar-99",1999-03-06,MA,"591-168-3457",Silver
69784779,Female,"20-Aug-90",1990-08-20,IA,"521-358-6847",Platinum
26810768,Female,"02-Jul-87",1987-07-02,WA,"387-791-4125",Platinum
82637319,Male,"17-Mar-99",1999-03-17,KY,"647-375-9124",Platinum
69546065,Male,"12-Jun-94",1994-06-12,PA,"641-659-5972",Platinum
67427492,Female,"01-Nov-92",1992-11-01,MN,"693-794-2741",Silver
18213216,Male,"06-Oct-69",1969-10-06,KY,"416-461-9145",Silver
98204394,Male,"06-Dec-68",1968-12-06,VA,"685-823-5284",Silver
63413368,Male,"01-Sep-66",1966-09-01,VA,"958-159-2173",Silver
91136854,Female,"07-Apr-98",1998-04-07,WI,"943-194-1759",Silver
11187680,Female,"11-Oct-74",1974-10-11,CO,"841-732-5392",Silver
88205075,Male,"03-Jun-73",1973-06-03,VA,"631-658-1329",Platinum
40728123,Male,"03-Jul-77",1977-07-03,UT,"298-863-2514",Platinum
65176092,Male,"23-Nov-75",1975-11-23,NC,"651-379-2486",Silver
84229777,Female,"18-Mar-76",1976-03-18,TN,"728-184-5376",Platinum
76093960,Female,"23-Jun-84",1984-06-23,OK,"867-923-3798",Silver
36994344,Male,"16-Dec-75",1975-12-16,ME,"673-618-4586",Silver
68043300,Male,"03-Jun-93",1993-06-03,MN,"687-879-7692",Platinum
28901669,Female,"28-May-81",1981-05-28,MT,"798-435-4862",Silver
86916099,Female,"15-Mar-69",1969-03-15,ME,"386-156-9384",Gold
29826894,Female,"06-Jan-91",1991-01-06,AZ,"124-198-8153",Silver
79637467,Male,"27-Mar-71",1971-03-27,IA,"736-694-8274",Gold
36632227,Female,"09-Jun-60",1960-06-09,GA,"369-589-9865",Silver
77510822,Female,"18-Mar-86",1986-03-18,AK,"436-934-7156",Silver
2651069,Male,"09-Mar-99",1999-03-09,AL,"681-981-1478",Gold
8150738,Female,"06-Dec-87",1987-12-06,NH,"842-127-7916",Platinum
67268108,Male,"18-Oct-73",1973-10-18,FL,"159-192-1758",Platinum
53907868,Male,"07-Feb-78",1978-02-07,WA,"768-578-9871",Platinum
86246733,Male,"17-Jul-82",1982-07-17,MN,"248-471-2985",Gold
45568489,Female,"03-Nov-67",1967-11-03,OH,"826-463-4186",Silver
28032985,Female,"10-Dec-64",1964-12-10,NM,"926-817-6247",Gold
33210182,Male,"09-Nov-89",1989-11-09,CA,"387-759-2586",Platinum
24731784,Female,"17-Oct-80",1980-10-17,DE,"169-631-1283",Silver
36126424,Female,"11-Feb-81",1981-02-11,ME,"398-768-5283",Platinum
95452498,Female,"21-Feb-88",1988-02-21,MI,"391-537-8235",Silver
22756942,Male,"09-Oct-82",1982-10-09,FL,"462-823-3126",Silver
62489316,Female,"15-Aug-93",1993-08-15,GA,"985-185-1659",Gold
4825461,Female,"27-Apr-65",1965-04-27,NE,"791-473-9763",Platinum
63915259,Male,"22-May-86",1986-05-22,GA,"829-157-6239",Gold
6723724,Female,"20-Apr-89",1989-04-20,AL,"592-368-3149",Platinum
51719336,Female,"06-Jul-66",1966-07-06,AK,"149-149-3164",Platinum
89808931,Female,"22-Jul-89",1989-07-22,WA,"524-613-4786",Silver
55105629,Male,"06-Feb-81",1981-02-06,TN,"516-198-5127",Silver
79076502,Female,"30-Dec-77",1977-12-30,NJ,"259-527-3218",Silver
81131066,Male,"01-Nov-68",1968-11-01,AL,"579-265-6183",Gold
75995055,Female,"14-Dec-95",1995-12-14,OK,"845-854-5473",Gold
24425429,Female,"09-Jun-87",1987-06-09,NC,"894-913-8453",Gold
51382348,Male,"28-Dec-70",1970-12-28,MT,"594-728-3497",Silver
18842829,Male,"10-Sep-69",1969-09-10,ME,"561-158-4657",Platinum
98180346,Male,"16-Feb-92",1992-02-16,NV,"685-872-4789",Platinum
53013094,Male,"07-Jun-76",1976-06-07,PA,"192-576-9158",Silver
25263633,Male,"04-Dec-66",1966-12-04,ND,"536-497-6752",Silver
16444738,Female,"18-Feb-90",1990-02-18,TN,"298-376-5293",Platinum
64231993,Male,"15-Jul-82",1982-07-15,CO,"617-896-5736",Gold
89530919,Male,"20-Sep-73",1973-09-20,IL,"938-684-9572",Gold
38011078,Female,"20-May-76",1976-05-20,NE,"271-123-1475",Gold
76314493,Female,"02-Oct-61",1961-10-02,DE,"389-764-4853",Silver
51975640,Female,"10-May-82",1982-05-10,NC,"139-648-8714",Silver
47593642,Male,"20-Jun-70",1970-06-20,HI,"596-684-9786",Gold
42439009,Female,"17-Sep-76",1976-09-17,NV,"591-218-5973",Gold
51613894,Male,"02-Jan-88",1988-01-02,MO,"675-213-7462",Silver
49078798,Male,"07-May-65",1965-05-07,VT,"168-931-2841",Gold
17822772,Male,"07-May-89",1989-05-07,OK,"428-196-6913",Platinum
94643289,Male,"24-Apr-98",1998-04-24,AK,"317-612-1425",Silver
47535244,Female,"16-Sep-61",1961-09-16,TN,"413-134-6842",Gold
70770204,Female,"17-Jan-84",1984-01-17,CT,"935-274-6725",Silver
92171044,Male,"24-Jul-64",1964-07-24,WI,"156-514-3516",Gold
98218159,Female,"02-Sep-76",1976-09-02,PA,"563-417-5261",Platinum
24112592,Male,"11-Jun-80",1980-06-11,NV,"916-185-5697",Platinum
